main,middle,sub,operations,evaluation,STANDARD,DELUXE,PREMIUM,wishlist,title,name,url
디자인,상세·이벤트 페이지,상세·이벤트 페이지,1248,12,3850000,4950000,9900000,187,"""대학생 김머신 X 그리다"" 찐 상세페이지 만들어 드립니다.",대학생김머신,https://kmong.com/gig/265740
디자인,메타버스·NFT아트,-,7,0,3000000,10000000,30000000,32,메타버스 플랫폼 제페토에 월드맵을 구성해 드립니다.,데브메이트,https://kmong.com/gig/344387
디자인,메타버스·NFT아트,-,7,0,3000000,6000000,10000000,17,메타버스 플랫폼 게더타운에 월드맵을 구성해 드립니다.,데브메이트,https://kmong.com/gig/346114
디자인,메타버스·NFT아트,-,7,5,600000,1000000,1500000,26,메타버스 플랫폼 제페토에 브랜딩 아이템을 만들어 드립니다.,데브메이트,https://kmong.com/gig/351950
디자인,패키지 디자인,-,9,7,1800000,3400000,6400000,392,대기업 출신 디자이너들이 브랜드 패키지 디자인을 해 드립니다.,LongandShort,https://kmong.com/gig/202489
디자인,캘리그라피·폰트,캘리그라피,38,24,150000,220000,300000,35,한자를 아름답게 그려 드립니다.,GEULLAB,https://kmong.com/gig/141019
디자인,일러스트·캐리커쳐,캐리커쳐,748,420,50000,가격 없음,가격 없음,298,고급 캐리커쳐 그려 드립니다.,kpjvs1,https://kmong.com/gig/23614
디자인,메타버스·NFT아트,-,5,2,8000000,15000000,30000000,20,Unity 기반 제페토 월드 제작해 드립니다.,AlphaD,https://kmong.com/gig/356379
디자인,웹툰·캐릭터·이모티콘,2D 캐릭터,125,76,60000,250000,350000,288,캐릭터디자인 일러스트 방송용캐릭터 SD캐릭터 작업해 드립니다.,그재,https://kmong.com/gig/106056
디자인,VR·AR·게임,게임용 3D소스,39,39,500000,900000,1500000,153,"VR,3D모델,리깅,애니메이션,유니티,언리얼 작업해 드립니다.",Polygonix,https://kmong.com/gig/178289
디자인,웹툰·캐릭터·이모티콘,2D 캐릭터,71,16,200000,300000,500000,39,풍부한 경험을 바탕으로 기업 또는 단체의 캐릭터를 제작 드립니다.,비마르,https://kmong.com/gig/163077
디자인,VR·AR·게임,게임용 3D소스,37,33,300000,가격 없음,가격 없음,188,3D 컨텐츠 제작해 드립니다.,kkuruk,https://kmong.com/gig/54575
디자인,메타버스·NFT아트,-,2,1,1990000,3990000,9990000,18,메타버스 플랫폼 제페토 월드맵을 제작해 드립니다.,한랩,https://kmong.com/gig/352182
