main,title,period,duration of work,workplace,type,tag,expert,url
경영전략/신사업,"휴대용 공기 청정 마스크의 개발, 생산, 판매에 대한 전략수립 및 실행",5/15/2020, 6개월 이내,협의/기타,"협의 (필요시 미팅, 경기도 성남시)","신제품, 신규브랜드, 사업전략, 상품기획, 웨어러블, wearable, 헬스케어, 마케팅, 양산, 인증","신규사업/BD, 경영전략/관리, 상품기획 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1260
경영전략/신사업,혁신적 기술융합으로 개발된 신제품 청정 살균제와 디바이스의 신사업 기획,5/15/2020, 3개월 이내,회사 (서울특별시  강남구),협의,"신사업, 기획, 기술주도, 비지니스모델, 사업타당성, b2b, b2c, 상품화, 살균제, 청정","신규사업/BD, 마케팅전략/브랜딩, 상품기획, 시장조사/데이터분석 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1277
전문가,자동차 설계 국내 영업자문 (신규 거래처 발굴),5/13/2020, 6개월 이내,협의/기타,"자문내용에 따라 근무장소,형태 상이함","자동차설계, 자동차부품, 영업, 현대차, 기아차, 신규거래처발굴, 설계용역",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1100
Other,IT Infra 진단 및 개선 컨설팅,5/13/2020, 3개월 이내,회사 (경기도  안양시 동안구),"주 1회 회사방문, 협의후 진행","it, 기획, 정보시스템, infra, 서버, 네트워크, 보안, isp, 진단개선",IT 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1217
엔지니어링,리튬전지 생산 자동화 설비 설계총괄급 채용,5/11/2020, 6개월 이상,회사 (경기도  화성시),"풀타임 상근(주5일, 09:00~18:00)","연료전지설비, 리튬전지, 설비조립설계, 생산자동화설비",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1312
엔지니어링,리튬전지 생산 자동화 설비 제어 설계총괄급 채용,5/11/2020, 6개월 이상,회사 (경기도  화성시),"풀타임 상근(주5일, 09:00~18:00)","제어설비, PLC, siemens, 제어설계, 연료전지",연구개발/설계 전문분야,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1313
마케팅,주식관련 App의 마케팅 전문가,5/11/2020, 3개월 이내,협의/기타,주 2회 자문 및 근무,"어플, 주식, 마케팅, app, 홍보, 온라인마케팅","홍보/PR, 온라인마케팅 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1315
경영전략/신사업,수입 안전보조장치 제품의 시장 진입 전략,5/11/2020, 1개월 이내,회사 (서울특별시  중구),협의,"산업안전, 생활안전, 안정장비, 신사업, 신시장, 진입전략, 유통전략","신규사업/BD, 영업/구매/유통, 상품기획, 품질/안전, 생산/제조 전문분야",https://www.talentbank.co.kr/common/project/projectView?projectSeq=1323
전문가,한방소재 건강식품 브랜드네이밍,5/11/2020, 1개월 이내,협의/기타,협의,"건강식품, 한방, 브랜드, 네이밍",제안받으신 전문가님 1명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1356
전문가,Caster 국내1위 기업 판매처 확대(반도체/해외영업분야),5/11/2020, 6개월 이내,협의/기타,매주 1일(4시간) 상근 및 자택 영업활동,"반도체라인, 캐스터, 반도체대차, 반도체123차벤더, 반도체장비",제안받으신 전문가님 56명 대상,https://www.talentbank.co.kr/common/project/projectView?projectSeq=1236
